p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,4.74847704950704,0.456,0.063,0,0,Bglap3
3.88929480056008e-251,3.28907462490896,0.321,0.044,7.77858960112017e-248,0,Acbd7
6.19467279135963e-201,3.15233656282482,0.553,0.359,1.23893455827193e-197,0,Spock1
0,3.1010083727872,0.648,0.334,0,0,Ctnnal1
0,2.86420399742579,0.782,0.497,0,0,Il12b
4.7150690792582e-103,2.72388345012615,0.527,0.371,9.4301381585164e-100,0,Macc1
0,2.70292069180946,0.647,0.433,0,0,Gm44448
0,2.6817209760486,0.856,0.454,0,0,Itgb8
0,2.65103388486174,0.925,0.523,0,0,Mab21l3
5.5775327710862e-94,2.6439527808769,0.463,0.186,1.11550655421724e-90,0,Cftr
0,2.62466897783478,0.661,0.416,0,0,Yes1
0,2.57726758740624,0.942,0.56,0,0,Aff3
0,2.48144447708798,0.688,0.403,0,0,Fgfbp3
2.2700587638948e-183,2.47220237920315,0.361,0.12,4.5401175277896e-180,0,Gm47771
0,2.38659406604567,0.631,0.396,0,0,Gm15614
1.09939905670934e-35,2.37007027502832,0.43,0.267,2.19879811341868e-32,0,1700123O12Rik
3.78963648729331e-73,2.32926293406125,0.455,0.237,7.57927297458661e-70,0,Serpinb9b
0,2.31185926778021,0.971,0.669,0,0,Bcl2l14
0,2.28587575952391,0.79,0.492,0,0,Plppr4
2.13396091798186e-242,2.26661909089371,0.607,0.4,4.26792183596372e-239,0,Cd70
0,2.24298580449035,0.992,0.724,0,0,Zdhhc14
0,2.20403367358636,0.629,0.392,0,0,Cpne8
0,2.20359449333355,0.91,0.594,0,0,Pi4k2b
9.58056406463863e-07,2.18323072289131,0.309,0.166,0.00191611281292773,0,Lrrc7
4.43709255505506e-11,2.08228601507673,0.207,0.035,8.87418511011013e-08,0,Gm29266
0,2.08181979257147,0.991,0.717,0,0,Ncoa7
0,2.04714861930299,0.61,0.34,0,0,Plat
1.87859353597223e-193,2.02693233281147,0.576,0.4,3.75718707194447e-190,0,Thbs4
0,2.02468947583424,0.967,0.591,0,0,Glipr2
4.81906810386246e-54,2.00140127973684,0.514,0.4,9.63813620772491e-51,0,Tgfb2
0,2.00016583526691,0.672,0.457,0,0,Arg2
0,1.98905121621046,0.72,0.504,0,0,Serpinb1a
6.16307819442425e-122,1.97984351327693,0.565,0.42,1.23261563888485e-118,0,Psd3
5.20612276052322e-162,1.96176808336118,0.523,0.309,1.04122455210464e-158,0,Acvr1c
1.44646367752627e-48,1.93396745741852,0.496,0.378,2.89292735505255e-45,0,Il27
0,1.86541149736813,0.996,0.726,0,0,Txndc17
0,1.83120198262057,0.804,0.51,0,0,Tanc1
0,1.82449665355231,0.96,0.748,0,0,Gclc
0,1.81684938284516,0.662,0.404,0,0,Oasl1
0,1.81580646671416,0.852,0.539,0,0,P3h2
0,1.77398566414837,0.968,0.66,0,0,Laptm4b
0,1.7728991812628,0.789,0.52,0,0,Scin
0,1.74985969453995,0.83,0.552,0,0,Dock9
4.67322588216775e-188,1.74142577800333,0.517,0.261,9.3464517643355e-185,0,Gm35330
0,1.74123594491467,0.929,0.621,0,0,Maml2
0,1.70140479113127,0.963,0.735,0,0,Aldh1a2
0,1.65372265547745,0.659,0.461,0,0,Rnf217
0,1.64830850246878,0.818,0.545,0,0,Ndrg1
0,1.6448600662504,0.759,0.478,0,0,Arhgap42
2.88495837351995e-44,1.62539582435962,0.463,0.294,5.7699167470399e-41,0,Nexmif
0,1.62503568673363,0.943,0.576,0,0,Cd81
9.34334665095729e-251,1.61286727199682,0.661,0.504,1.86866933019146e-247,0,Jazf1
0,1.57995303589913,0.499,0.161,0,0,Psca
0,1.5783201171242,0.791,0.518,0,0,Oprd1
0,1.54968886270089,0.998,0.885,0,0,Atp2b1
0,1.53905872724263,0.844,0.601,0,0,Tubb2b
0,1.53586942130293,0.952,0.709,0,0,Glcci1
4.31804178223517e-103,1.53328578337783,0.595,0.482,8.63608356447034e-100,0,Rnf152
0,1.50374888233108,0.82,0.578,0,0,Tnik
0,1.50068271339863,0.972,0.716,0,0,Serpinb9
2.38035992709951e-151,1.48469314757361,0.518,0.263,4.76071985419903e-148,0,Pde4c
0,1.4726893348506,1,0.941,0,0,Epsti1
2.98912129050131e-100,1.43596152008465,0.611,0.507,5.97824258100263e-97,0,Jag1
7.77354951969093e-143,1.42079131989934,0.604,0.482,1.55470990393819e-139,0,4933406J09Rik
4.55186601123281e-134,1.41229226660496,0.596,0.455,9.10373202246562e-131,0,Tnfsf9
0,1.40250430167592,0.943,0.678,0,0,Ubash3b
0,1.36985021816822,0.932,0.767,0,0,Nabp1
0,1.36872744255619,0.997,0.888,0,0,Rbpj
0,1.36694597639761,0.767,0.528,0,0,Usp53
1.55047745222019e-36,1.36088388681848,0.548,0.506,3.10095490444037e-33,0,Tshz3
0,1.35380788325573,0.997,0.83,0,0,Serpinb6b
0,1.35284533312921,0.998,0.809,0,0,Arhgap31
0,1.33739259799941,0.992,0.822,0,0,Zc3h12c
1.29229114732809e-306,1.335963882097,0.578,0.286,2.58458229465618e-303,0,Csf1
0,1.32209035905282,0.924,0.638,0,0,Insr
0,1.32051852767678,0.994,0.85,0,0,Lima1
0,1.31364372375945,0.709,0.5,0,0,Nos1ap
0,1.3131793741195,0.988,0.729,0,0,Slc22a23
0,1.31243992244525,0.835,0.631,0,0,Scai
1.17414448090335e-133,1.30630281982154,0.471,0.195,2.34828896180669e-130,0,Dgkk
0,1.30593346834167,0.856,0.583,0,0,Cmc2
1.05664736476732e-175,1.3044959651076,0.532,0.275,2.11329472953464e-172,0,Cttnbp2
0,1.29682477675178,0.945,0.728,0,0,Rad51b
0,1.28963394439841,0.732,0.52,0,0,Bcl2l1
0,1.26743976758663,0.993,0.832,0,0,Tspo
1.8705470521575e-217,1.23836683655514,0.681,0.515,3.741094104315e-214,0,Rnf144b
1.70144926259681e-15,1.23809745860306,0.317,0.218,3.40289852519361e-12,0,Grip1
0,1.23488952029839,0.932,0.734,0,0,Kif13b
0,1.2332823302063,0.984,0.816,0,0,Galnt7
0,1.22850310005905,0.994,0.789,0,0,Txn1
1.20665650934217e-20,1.2261987565843,0.426,0.258,2.41331301868434e-17,0,Rims2
0,1.22554388463544,0.968,0.689,0,0,Zmynd15
1.93852644629525e-164,1.21437137585368,0.664,0.511,3.8770528925905e-161,0,Fam219a
0,1.21220045568027,0.998,0.905,0,0,Rab8b
0,1.20865006704543,0.975,0.739,0,0,Tmem39a
0,1.20528525360475,0.758,0.517,0,0,Nxn
1.96552767426032e-189,1.19933497790691,0.691,0.555,3.93105534852063e-186,0,Abtb2
5.10832579571639e-268,1.19665662717499,0.779,0.631,1.02166515914328e-264,0,Pdcd1lg2
0,1.19532304238279,0.749,0.552,0,0,Mospd1
8.30392189624359e-293,1.16316483123155,0.717,0.502,1.66078437924872e-289,0,Mir155hg
0,1.16294949119147,0.813,0.552,0,0,Fnip2
0,1.14433423013642,0.807,0.588,0,0,Sclt1
2.56345019757343e-241,1.11668473451364,0.737,0.587,5.12690039514686e-238,0,Cpeb2
0,1.09447414237115,0.986,0.855,0,0,Tagln2
0,1.09002323391665,0.943,0.75,0,0,Gramd1b
0,1.08416999526794,0.972,0.725,0,0,Irf8
8.22116373333115e-52,1.07707039353246,0.588,0.504,1.64423274666623e-48,0,Clcn5
0,1.07626886566011,0.906,0.663,0,0,Idi1
9.67532890400089e-141,1.05237172838629,0.154,0.097,1.93506578080018e-137,0,Rgs7
5.70251082760486e-29,1.05205107183485,0.376,0.266,1.14050216552097e-25,0,Pcsk2
2.66353434862304e-25,1.04945422979044,0.277,0.083,5.32706869724607e-22,0,Lvrn
0,1.03926971118285,0.996,0.871,0,0,Atxn1
0,1.03377842030205,0.895,0.667,0,0,Ccl22
0,1.02832977371138,0.934,0.75,0,0,Ly75
0,1.01969320093422,0.494,0.239,0,0,Lbhd2
0,1.01838658432217,0.843,0.626,0,0,Arl5b
1.08532163792087e-13,1.01597081449856,0.48,0.417,2.17064327584174e-10,0,Ppp1r9a
0,1.00014270331112,0.996,0.808,0,0,Npc2
7.43307616114904e-260,3.80493271759739,0.272,0.045,1.48661523222981e-256,1,Gm49504
0,1.96138376227117,0.97,0.805,0,1,Fabp5
0,1.83980483736935,0.862,0.622,0,1,Car2
1.56570660548696e-28,1.74059006266552,0.419,0.296,3.13141321097393e-25,1,Mrgpra1
2.24958150793845e-40,1.73736379805313,0.418,0.273,4.4991630158769e-37,1,1700011B04Rik
1.30219558266677e-133,1.68492881238762,0.597,0.491,2.60439116533353e-130,1,Fxyd2
2.15037698039654e-25,1.64963864518264,0.504,0.497,4.30075396079308e-22,1,Rgs6
8.21650387860241e-20,1.52413672086417,0.45,0.415,1.64330077572048e-16,1,Dkk2
1.47440684935028e-09,1.50354155501509,0.459,0.447,2.94881369870056e-06,1,Ccl17
0,1.4661614154703,0.896,0.718,0,1,Rnase6
4.42036938717622e-271,1.2272675805689,0.67,0.545,8.84073877435244e-268,1,Myom1
6.33430401327103e-171,1.1662951989863,0.66,0.527,1.26686080265421e-167,1,Ppp1r1a
1.93431070979323e-09,1.16409870995722,0.374,0.321,3.86862141958645e-06,1,Tmem119
0,1.16205355925631,0.79,0.574,0,1,9530059O14Rik
4.45472183701715e-59,1.15908338567753,0.561,0.52,8.9094436740343e-56,1,Prkg1
1.11153050113712e-56,1.14032198305389,0.256,0.332,2.22306100227424e-53,1,Olfr655
1.25791285865228e-33,1.13893082156216,0.497,0.436,2.51582571730457e-30,1,Syn3
1.22237379415049e-146,1.12158249397162,0.629,0.539,2.44474758830098e-143,1,Gm33843
1.43464358855127e-177,1.09608941848356,0.544,0.392,2.86928717710253e-174,1,Rgs7bp
1.41889288383349e-87,1.08936019982578,0.579,0.513,2.83778576766698e-84,1,Klrd1
1.15236371240811e-207,1.06871682459156,0.581,0.423,2.30472742481623e-204,1,Atf7ip2
6.06451910466855e-61,1.06479317379681,0.617,0.594,1.21290382093371e-57,1,Crispld2
0,1.06349080158378,0.769,0.621,0,1,St18
2.61788363064705e-136,1.06159233755809,0.637,0.519,5.23576726129409e-133,1,Gria3
9.25166347462371e-269,1.05956267398919,0.787,0.628,1.85033269492474e-265,1,Gm42601
0,1.05046965820916,0.996,0.905,0,1,Apol7c
0,1.04981377731509,0.89,0.683,0,1,Slc7a11
5.34333384629343e-166,1.03519042835258,0.566,0.422,1.06866676925869e-162,1,Mmp7
3.88308056528156e-132,1.02770333486171,0.359,0.188,7.76616113056312e-129,1,Slc22a27
0,1.02728332449101,0.857,0.674,0,1,Gm15987
1.66932329877369e-44,1.01938218464873,0.505,0.467,3.33864659754739e-41,1,Gm6209
3.52664490716484e-59,2.55395929262015,0.532,0.512,7.05328981432969e-56,2,Gprc5a
3.45807531325743e-67,2.39122112169338,0.539,0.495,6.91615062651486e-64,2,Hopx
3.84746252496851e-10,2.21507038565042,0.317,0.206,7.69492504993702e-07,2,Ppfia2
3.45323632962761e-132,2.11892057794746,0.631,0.561,6.90647265925521e-129,2,Gm7247
0,2.11302175666936,0.821,0.625,0,2,St18
1.44606787949541e-21,2.10299423200771,0.003,0.12,2.89213575899081e-18,2,Acbd7
0,2.04127937352097,0.776,0.597,0,2,Ptgs2
0,2.02527628059903,0.897,0.628,0,2,Pcyt1a
1.04321573079315e-17,2.01690475321178,0.476,0.463,2.08643146158631e-14,2,Dthd1
1.65344094008776e-39,2.01410384001263,0.07,0.046,3.30688188017552e-36,2,Il22ra2
0,1.97391677079165,0.991,0.836,0,2,Nr4a3
5.52483732198838e-66,1.96424141392847,0.536,0.483,1.10496746439768e-62,2,Flrt3
1.26850123508457e-86,1.94917487589341,0.301,0.13,2.53700247016913e-83,2,Klrc2
1.54783807508839e-90,1.93537515512762,0.309,0.164,3.09567615017677e-87,2,Dmkn
2.97258914827633e-138,1.91987295879081,0.622,0.513,5.94517829655266e-135,2,Tnip3
8.45887526793594e-29,1.91224714461342,0.506,0.475,1.69177505358719e-25,2,Cyp7b1
3.77999718704981e-40,1.87699084991139,0.467,0.357,7.55999437409962e-37,2,Htra1
2.41582963556266e-07,1.84758085458947,0.443,0.461,0.000483165927112532,2,Gm9750
0,1.83012920075263,0.739,0.537,0,2,Dpf3
1.71234634827529e-11,1.7500270281671,0.349,0.392,3.42469269655059e-08,2,Tarm1
1.57280968469828e-11,1.73940883553473,0.447,0.418,3.14561936939656e-08,2,Rgs7bp
0,1.72590915527948,0.845,0.67,0,2,Mmd
1.70443350194169e-55,1.68724884286981,0.417,0.276,3.40886700388338e-52,2,Stra6
0,1.6795759420571,0.942,0.687,0,2,Pla2g7
4.77622000695663e-180,1.64081444166074,0.669,0.555,9.55244001391327e-177,2,Myom1
2.46181904746172e-128,1.63297582702679,0.568,0.444,4.92363809492344e-125,2,Kcnk13
0,1.60331270226415,0.938,0.692,0,2,Slc7a11
2.26972637404038e-34,1.60016717278123,0.464,0.398,4.53945274808076e-31,2,Gm17276
6.356243661387e-09,1.59772552429136,0.489,0.533,1.2712487322774e-05,2,Cpm
0,1.57226925820121,0.909,0.752,0,2,Atf3
2.90931000783646e-82,1.56724318303745,0.543,0.442,5.81862001567293e-79,2,Atf7ip2
1.74347555150692e-67,1.56013460536572,0.544,0.479,3.48695110301384e-64,2,Prdm1
0,1.53965725165723,0.945,0.783,0,2,Stat4
0,1.53637857293638,0.879,0.639,0,2,Car2
4.17795688084587e-50,1.52569873667181,0.554,0.514,8.35591376169173e-47,2,Gm4107
0,1.50383210380672,0.818,0.587,0,2,9530059O14Rik
2.01908832344758e-19,1.48020836248954,0.276,0.194,4.03817664689516e-16,2,Pcsk6
3.03215507027028e-119,1.46592425428666,0.569,0.43,6.06431014054056e-116,2,Syn3
0,1.45713903898912,0.83,0.631,0,2,Klri1
4.85933404230916e-145,1.44761003787177,0.587,0.485,9.71866808461832e-142,2,Gm15155
0,1.44471051817096,0.898,0.693,0,2,Arap2
1.2349334343555e-103,1.40908272278485,0.61,0.498,2.469866868711e-100,2,Fxyd2
5.6763756952831e-184,1.38292562121723,0.726,0.615,1.13527513905662e-180,2,Ccrl2
4.93110837301256e-248,1.37366570719817,0.904,0.779,9.86221674602512e-245,2,Large1
0,1.36412597294404,0.972,0.851,0,2,Ifrd1
4.35335120059029e-295,1.35634437815285,0.887,0.754,8.70670240118057e-292,2,Nr4a2
1.15480035071962e-119,1.35541420735891,0.647,0.54,2.30960070143923e-116,2,Ppp1r1a
1.52785238285212e-13,1.34620902189638,0.468,0.476,3.05570476570423e-10,2,Gm6209
3.80397163315738e-270,1.33517130733856,0.865,0.717,7.60794326631476e-267,2,Plscr1
3.64545482694578e-149,1.32796073448669,0.663,0.58,7.29090965389156e-146,2,Slc15a2
2.78841982791251e-87,1.3231689498896,0.599,0.551,5.57683965582502e-84,2,Epcam
1.53314183957689e-189,1.30255025549298,0.62,0.453,3.06628367915378e-186,2,Slc44a5
1.58926237095757e-188,1.27514674781232,0.603,0.428,3.17852474191514e-185,2,2610528A11Rik
7.67287885917313e-31,1.24227134341052,0.553,0.551,1.53457577183463e-27,2,Gm34907
3.203987935121e-117,1.22131122672124,0.512,0.346,6.407975870242e-114,2,Grpr
